year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Winter,Spring,Summer,Autumn,Annual,Wheat,Sunflower
1965,120.5,49.4,24.7,83.7,80.5,26.4,53.0,24.1,0.0,85.1,105.0,57.8,169.9,188.9,103.5,190.1,710.2,385.2,267.7
1966,107.5,90.3,60.1,49.5,39.0,38.7,56.0,19.0,0.0,89.9,91.2,87.8,255.6,148.6,113.7,181.1,729.0,547.9,202.2
1967,43.2,47.7,41.1,48.5,20.8,75.4,43.9,20.0,68.9,0.0,13.2,145.9,178.7,110.4,139.3,82.1,568.6,455.7,208.6
1968,39.4,63.0,20.9,52.7,21.8,81.9,39.2,59.4,0.0,18.0,81.4,92.9,248.3,95.4,180.5,99.4,570.6,438.8,255.0
1969,17.6,65.6,15.0,39.8,67.6,24.5,13.6,16.2,0.0,31.0,101.0,122.9,176.1,122.4,54.3,132.0,514.8,404.4,161.7
1970,79.2,112.1,79.0,38.8,2.9,21.1,3.4,18.7,33.2,49.1,79.8,136.7,314.2,120.7,43.2,162.1,654.0,557.0,84.9
1971,17.6,111.2,102.1,20.8,112.3,7.3,33.6,24.9,29.3,0.0,145.9,79.6,265.5,235.2,65.8,175.2,684.6,587.8,198.9
1972,91.8,62.2,60.1,45.4,59.9,46.1,15.2,8.2,41.5,13.5,95.3,88.7,233.6,165.4,69.5,150.3,627.9,591.0,174.8
1973,122.9,40.5,76.5,47.9,63.8,56.4,53.0,0.0,72.6,75.2,97.5,6.1,252.1,188.2,109.4,245.3,712.4,592.0,221.1
1974,118.4,33.8,68.3,46.9,92.7,102.7,41.0,26.8,37.8,115.9,112.9,134.5,158.3,207.9,170.5,266.6,931.7,566.4,310.1
1975,115.9,39.7,60.1,66.2,22.1,8.6,20.5,8.5,0.0,51.1,60.4,150.9,290.1,148.4,37.6,111.5,604.0,560.0,125.9
1976,118.4,44.9,53.9,63.0,59.4,0.0,0.0,40.8,63.2,42.6,144.2,107.7,314.2,176.3,40.8,250.0,738.1,550.9,163.2
1977,50.5,9.4,5.2,15.6,36.2,83.2,30.6,0.0,114.6,32.7,82.2,152.0,167.6,57.0,113.8,229.5,612.2,452.0,165.6
1978,0.0,73.0,96.7,33.8,107.5,55.7,24.0,29.6,15.5,23.3,112.2,54.7,225.0,238.0,109.3,151.0,626.0,600.9,250.6
1979,0.0,46.0,29.3,77.8,59.5,23.4,26.7,52.5,16.6,46.6,97.5,85.9,100.7,166.6,102.6,160.7,561.8,402.9,239.9
1980,7.6,0.0,78.2,31.7,13.9,0.0,11.5,0.0,26.8,117.2,78.4,54.8,93.5,123.8,11.5,222.4,420.1,314.8,57.1
1981,53.1,50.7,118.8,36.1,60.7,44.0,30.8,53.7,42.8,65.4,95.7,0.0,158.6,215.6,128.5,203.9,651.8,496.6,225.3
1982,117.5,53.9,0.0,25.6,9.6,14.4,64.2,42.7,38.8,89.7,53.5,99.0,171.4,35.2,121.3,182.0,608.9,316.7,156.5
1983,132.8,22.1,32.3,64.4,9.3,14.5,71.0,13.9,88.6,45.7,42.9,61.1,253.9,106.0,99.4,177.2,598.6,427.9,173.1
