year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Winter,Spring,Summer,Autumn,Annual,Wheat,Sunflower
1965,82.0,68.5,48.4,37.6,0.0,44.1,7.5,8.1,10.5,54.7,50.4,69.0,150.5,86.0,59.7,115.6,480.8,280.6,97.3
1966,79.8,65.0,41.0,91.1,75.2,0.0,0.0,22.5,32.2,51.1,97.6,106.6,213.8,207.3,22.5,180.9,662.1,471.5,188.8
1967,15.0,40.9,121.2,54.7,93.9,39.8,11.8,0.0,19.1,45.4,25.9,60.9,162.5,269.8,51.6,90.4,528.6,569.7,200.2
1968,0.0,64.9,83.8,18.8,7.7,20.4,0.0,35.8,74.9,47.6,111.9,64.8,125.8,110.3,56.2,234.4,530.6,282.4,82.7
1969,19.2,66.8,72.5,64.0,3.8,16.9,0.4,32.1,24.2,34.0,84.7,16.5,150.8,140.3,49.4,142.9,435.1,419.9,117.2
1970,25.5,72.1,68.2,30.2,48.4,85.4,21.8,31.0,7.0,0.0,38.2,101.8,114.1,146.8,138.2,45.2,529.6,431.0,216.8
1971,129.9,21.2,76.2,27.2,58.5,92.2,43.1,28.4,16.8,17.5,28.0,21.1,252.9,161.9,163.7,62.3,560.1,545.2,249.4
1972,8.1,26.9,52.5,12.1,119.4,0.0,49.6,13.4,9.6,13.8,8.5,27.1,56.1,184.0,63.0,31.9,341.0,268.1,194.5
1973,83.2,102.9,74.2,49.2,70.7,84.9,41.3,25.6,76.2,21.0,51.7,12.4,213.2,194.1,151.8,148.9,693.3,500.7,271.7
1974,132.2,69.7,33.1,65.3,0.0,30.8,11.4,39.6,28.5,40.9,114.0,54.1,214.3,98.4,81.8,183.4,619.6,395.2,147.1
1975,99.4,86.2,49.9,15.9,52.2,65.6,60.0,23.2,25.1,67.1,88.9,26.6,239.7,118.0,148.8,181.1,660.1,537.3,216.9
1976,95.9,58.1,67.0,68.3,64.2,16.7,10.7,29.8,0.0,74.0,67.0,129.0,180.6,199.5,57.2,141.0,680.7,485.7,189.7
1977,48.4,111.7,139.1,46.1,35.1,116.6,43.0,6.4,36.8,70.5,104.7,74.9,289.1,220.3,166.0,212.0,833.3,693.0,247.2
1978,51.6,74.6,106.7,56.1,35.4,19.5,80.8,41.8,77.5,35.5,53.7,110.5,201.1,198.2,142.1,166.7,743.7,523.5,233.6
1979,115.3,47.1,64.8,67.8,40.6,0.0,44.7,72.1,48.7,0.0,0.0,25.3,272.9,173.2,116.8,48.7,526.4,499.8,225.2
1980,102.5,67.1,137.8,40.5,39.1,84.6,16.7,19.2,53.5,73.4,77.4,1.7,194.9,217.4,120.5,204.3,713.5,496.9,200.1
1981,27.5,54.1,24.0,85.6,28.7,27.9,0.0,0.7,0.0,87.5,0.0,53.4,83.3,138.3,28.6,87.5,389.4,326.9,142.9
