year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Winter,Spring,Summer,Autumn,Annual,Wheat,Sunflower
1965,9.4,44.6,12.6,53.0,79.4,49.6,3.0,0.0,78.1,84.6,0.0,101.6,54.0,145.0,52.6,162.7,515.9,248.6,185.0
1966,113.9,85.9,55.3,14.4,9.5,24.6,12.0,5.0,36.5,52.3,90.9,57.9,301.4,79.2,41.6,179.7,558.2,405.2,65.5
1967,2.2,79.4,83.8,60.9,4.0,34.2,9.4,42.3,62.0,74.1,74.6,165.9,139.5,148.7,85.9,210.7,692.8,413.3,150.8
1968,0.0,40.1,95.6,0.0,14.3,25.2,2.5,13.9,33.5,65.1,39.3,89.8,206.0,109.9,41.6,137.9,419.3,415.7,55.9
1969,77.7,66.1,80.9,61.3,57.8,0.0,15.3,28.1,11.4,52.3,78.4,87.4,233.6,200.0,43.4,142.1,616.7,472.9,162.5
1970,76.9,34.4,65.8,74.2,26.0,104.5,8.9,24.3,37.8,109.2,142.0,52.4,198.7,166.0,137.7,289.0,756.4,547.6,237.9
1971,118.9,0.0,16.6,20.8,6.2,0.0,28.9,0.6,51.3,42.4,28.4,4.3,171.3,43.6,29.5,122.1,318.4,356.9,56.5
1972,130.0,47.5,94.7,53.4,0.0,7.9,17.5,20.8,24.5,50.1,91.4,0.0,181.8,148.1,46.2,166.0,537.8,366.2,99.6
1973,38.6,37.1,39.8,23.2,64.4,45.1,0.0,0.0,96.2,81.8,23.8,41.3,75.7,127.4,45.1,201.8,491.3,339.6,132.7
1974,85.1,41.5,69.1,66.9,27.7,0.0,53.1,18.9,41.8,52.5,81.7,38.6,167.9,163.7,72.0,176.0,576.9,355.4,166.6
1975,135.2,55.3,62.2,100.4,90.4,0.0,25.4,0.0,60.0,22.7,68.6,115.6,229.1,253.0,25.4,151.3,735.8,563.8,216.2
1976,44.8,102.9,11.0,39.4,0.0,45.2,16.0,6.1,69.8,194.3,87.7,130.9,263.3,50.4,67.3,351.8,748.1,427.5,106.7
1977,46.3,60.2,0.0,76.5,9.9,56.5,0.0,19.1,32.1,28.9,0.0,101.1,237.4,86.4,75.6,61.0,430.6,468.0,162.0
1978,54.1,40.8,79.7,10.9,61.3,70.3,60.9,0.0,31.2,59.3,127.5,58.7,196.0,151.9,131.2,218.0,654.7,418.2,203.4
1979,92.1,43.4,0.0,69.5,0.0,58.1,15.2,26.1,53.3,78.4,66.5,29.2,194.2,69.5,99.4,198.2,531.8,449.3,168.9
1980,104.9,55.7,62.5,74.7,63.3,0.0,40.0,16.1,31.6,72.7,0.0,46.7,189.8,200.5,56.1,104.3,568.2,456.8,194.1
1981,48.3,57.6,43.7,32.4,7.1,27.2,35.8,29.4,0.0,60.9,114.5,52.6,152.6,83.2,92.4,175.4,509.5,263.0,131.9
1982,16.4,116.8,26.0,44.0,0.0,79.0,32.7,34.7,0.0,87.4,9.3,117.2,185.8,70.0,146.4,96.7,563.5,449.3,190.4
1983,14.1,89.7,49.6,68.8,30.8,35.2,24.6,18.6,48.5,26.6,149.1,40.8,221.0,149.2,78.4,224.2,596.4,414.7,178.0
1984,88.0,173.9,89.1,74.3,0.0,46.0,52.1,19.0,18.6,103.6,32.4,195.2,302.7,163.4,117.1,154.6,892.2,661.2,191.4
1985,63.4,81.0,45.9,40.8,15.7,19.3,20.7,49.5,15.7,25.3,61.6,143.7,339.6,102.4,89.5,102.6,582.6,493.7,146.0
1986,109.7,26.5,121.9,50.1,53.4,18.7,29.4,6.3,15.2,25.2,144.8,158.7,279.9,225.4,54.4,185.2,759.9,585.6,157.9
1987,46.1,26.7,59.6,43.1,19.7,34.9,15.2,22.4,40.3,31.0,8.9,118.4,231.5,122.4,72.5,80.2,466.3,533.6,135.3
1988,48.8,36.2,88.0,65.0,31.5,0.0,44.2,35.6,57.0,49.6,150.4,0.0,203.4,184.5,79.8,257.0,606.3,396.8,176.3
1989,65.5,96.3,5.2,58.4,59.2,25.0,1.0,28.8,50.1,42.0,8.1,0.0,161.8,122.8,54.8,100.2,439.6,460.0,172.4
1990,56.3,84.1,18.3,0.0,2.0,10.1,32.9,21.1,0.0,53.6,0.0,28.7,140.4,20.3,64.1,53.6,307.1,178.9,66.1
1991,47.7,59.2,100.3,18.3,52.8,10.5,0.0,32.0,38.8,88.9,106.7,138.0,135.6,171.4,42.5,234.4,693.2,317.5,113.6
1992,31.4,62.0,108.8,16.4,0.0,6.7,0.0,54.2,0.0,28.8,51.4,13.1,231.4,125.2,60.9,80.2,372.8,470.0,77.3
1993,76.5,0.0,43.7,18.0,40.2,43.9,21.6,47.9,0.0,42.6,14.0,111.1,89.6,101.9,113.4,56.6,459.5,286.8,171.6
1994,73.4,12.4,104.8,63.1,27.1,2.8,0.0,32.9,43.3,63.5,31.2,29.9,196.9,195.0,35.7,138.0,484.4,408.7,125.9
1995,11.5,59.6,68.5,4.4,0.0,41.2,0.0,34.5,23.3,39.5,137.4,16.9,101.0,72.9,75.7,200.2,436.8,246.3,80.1
1996,47.0,0.0,56.0,31.7,66.3,41.0,30.0,59.1,46.2,0.0,182.1,60.0,63.9,154.0,130.1,228.3,619.4,396.3,228.1
1997,5.6,84.6,76.5,57.3,23.1,35.9,34.5,17.2,26.4,119.6,80.2,98.7,150.2,156.9,87.6,226.2,659.6,525.1,168.0
1998,44.7,121.8,59.5,8.7,65.5,88.2,7.8,27.7,68.5,0.0,83.9,109.3,265.2,133.7,123.7,152.4,685.6,567.3,197.9
1999,70.2,10.9,48.7,26.7,3.6,55.3,60.5,26.5,0.0,123.9,68.8,197.4,190.4,79.0,142.3,192.7,692.5,408.6,172.6
2000,84.1,76.6,75.1,7.0,0.0,0.0,32.2,33.3,108.5,14.7,120.8,110.8,358.1,82.1,65.5,244.0,663.1,509.0,72.5
2001,77.7,98.8,28.6,18.3,67.4,65.1,14.4,12.0,22.6,31.3,58.0,94.4,287.3,114.3,91.5,111.9,588.6,587.5,177.2
2002,61.9,22.1,57.9,35.6,70.5,0.0,2.8,7.0,57.4,102.5,0.0,67.9,178.4,164.0,9.8,159.9,485.6,400.4,115.9
2003,56.7,92.5,103.5,76.6,36.8,47.4,39.1,0.0,89.8,135.2,110.0,113.3,217.1,216.9,86.5,335.0,900.9,481.4,199.9
2004,52.7,76.7,17.1,60.0,27.2,9.6,0.0,9.0,32.8,81.9,137.0,112.5,242.7,104.3,18.6,251.7,616.5,466.6,105.8
2005,95.9,10.2,36.1,51.5,36.4,47.7,29.6,3.8,38.4,0.0,22.2,0.0,218.6,124.0,81.1,60.6,371.8,527.3,169.0
2006,0.0,94.3,93.3,27.0,34.6,56.5,7.4,9.7,98.7,24.2,86.6,36.3,94.3,154.9,73.6,209.5,568.6,327.9,135.2
2007,0.0,70.3,0.0,47.4,10.7,45.3,39.2,0.0,0.0,94.2,33.2,173.1,106.6,58.1,84.5,127.4,513.4,296.6,142.6
2008,98.7,126.5,73.2,0.0,27.1,0.0,40.7,26.7,0.0,60.9,48.6,165.3,398.3,100.3,67.4,109.5,667.7,531.8,94.5
2009,176.5,44.5,61.4,56.4,41.1,0.0,19.9,10.7,0.0,64.7,84.3,101.3,386.3,158.9,30.6,149.0,660.8,593.8,128.1
2010,132.7,20.9,23.5,20.8,68.4,20.5,0.0,42.3,0.0,96.7,50.4,0.0,254.9,112.7,62.8,147.1,476.2,472.4,152.0
2011,48.3,0.0,3.5,85.5,0.0,14.5,28.9,3.2,53.1,44.2,34.2,155.5,48.3,89.0,46.6,131.5,470.9,202.2,132.1
2012,0.0,63.4,100.2,47.1,17.1,26.2,0.0,0.2,66.5,32.8,75.9,115.0,218.9,164.4,26.4,175.2,544.4,443.7,90.6
2013,22.8,0.0,96.1,30.8,26.6,36.9,37.1,33.2,8.4,63.1,13.7,138.5,137.8,153.5,107.2,85.2,507.2,404.1,164.6
2014,30.5,0.0,45.9,2.3,118.2,25.9,20.4,2.9,69.7,17.0,0.0,72.6,169.0,166.4,49.2,86.7,405.4,375.0,169.7
2015,109.2,167.2,72.3,58.1,0.0,70.9,51.7,3.0,45.0,75.8,123.3,48.5,349.0,130.4,125.6,244.1,825.0,550.3,183.7
2016,0.0,77.0,128.5,29.9,89.5,0.0,23.2,1.1,1.3,80.9,34.8,164.4,125.5,247.9,24.3,117.0,630.6,496.7,143.7
2017,39.5,0.0,88.5,66.0,0.0,28.9,23.6,11.0,0.0,63.8,197.0,45.2,203.9,154.5,63.5,260.8,563.5,422.1,129.5
2018,42.4,68.6,43.1,1.2,72.7,24.7,14.2,5.4,29.8,101.4,82.9,75.5,156.2,117.0,44.3,214.1,561.9,494.9,118.2
2019,114.1,51.3,25.5,88.2,80.0,5.2,22.7,21.6,18.1,50.8,52.2,88.2,240.9,193.7,49.5,121.1,617.9,522.7,217.7
2020,156.7,0.0,88.2,0.0,0.0,24.6,42.3,27.6,0.0,59.1,110.7,131.7,244.9,88.2,94.5,169.8,640.9,409.9,94.5
2021,74.2,72.7,68.9,37.7,74.2,30.0,24.2,37.5,0.0,69.3,119.2,138.6,278.6,180.8,91.7,188.5,746.5,600.1,203.6
2022,20.7,62.2,40.1,79.1,43.6,32.9,0.0,51.9,13.7,1.7,118.2,0.0,221.5,162.8,84.8,133.6,464.1,536.4,207.5
2023,80.2,14.7,0.0,3.6,29.5,0.0,22.4,0.0,32.7,51.5,55.4,113.4,94.9,33.1,22.4,139.6,403.4,246.2,55.5
2024,74.0,92.2,139.9,18.2,0.0,3.8,0.0,8.6,0.0,123.2,49.0,43.0,279.6,158.1,12.4,172.2,551.9,496.9,30.6
