year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Winter,Spring,Summer,Autumn,Annual,Wheat,Sunflower
1965,166.6,74.4,0.0,77.3,50.5,48.9,2.0,25.6,0.0,101.4,110.6,55.3,241.0,127.8,76.5,212.0,712.6,417.7,204.3
1966,76.2,97.3,50.0,69.1,59.6,40.1,41.6,25.7,17.2,40.0,39.5,100.0,228.8,178.7,107.4,96.7,656.3,558.2,236.1
1967,97.6,46.3,51.1,62.0,12.7,119.5,65.8,11.1,20.5,56.0,99.5,59.2,243.9,125.8,196.4,176.0,701.3,528.7,271.1
1968,19.5,86.5,38.8,15.3,88.4,37.7,24.2,17.2,73.2,57.5,55.0,0.0,165.2,142.5,79.1,185.7,513.3,444.9,182.8
1969,88.5,39.0,45.5,88.0,70.8,34.0,27.6,29.4,70.1,107.1,105.9,114.1,127.5,204.3,91.0,283.1,820.0,420.8,249.8
1970,24.9,120.5,73.5,43.5,56.8,21.1,24.0,33.9,0.0,126.7,103.7,60.3,259.5,173.8,79.0,230.4,688.9,560.3,179.3
1971,24.1,52.0,36.0,6.5,40.4,0.0,41.8,35.7,8.2,44.3,53.6,126.7,136.4,82.9,77.5,106.1,469.3,323.0,124.4
1972,62.2,0.0,27.2,11.6,71.4,4.8,35.6,52.8,9.5,131.1,70.9,17.3,188.9,110.2,93.2,211.5,494.4,357.5,176.2
1973,32.2,50.4,56.1,16.7,21.7,0.0,40.4,29.1,26.5,121.2,8.3,0.0,99.9,94.5,69.5,156.0,402.6,265.3,107.9
1974,65.8,60.7,1.4,72.2,111.2,101.9,43.0,0.5,57.4,162.7,149.2,26.0,126.5,184.8,145.4,369.3,852.0,421.5,328.8
1975,65.6,13.4,64.1,0.0,26.6,73.3,0.0,0.0,38.4,107.2,58.2,13.3,105.0,90.7,73.3,203.8,460.1,418.2,99.9
1976,124.7,12.8,70.3,16.3,100.3,63.3,30.7,10.8,75.2,87.7,77.6,105.5,150.8,186.9,104.8,240.5,775.2,459.2,221.4
1977,5.7,19.8,22.8,47.4,8.5,40.8,41.5,23.6,35.8,0.0,45.3,10.1,131.0,78.7,105.9,81.1,301.3,328.1,161.8
1978,0.0,37.4,84.6,35.6,26.2,113.4,37.9,31.0,44.8,101.7,27.0,88.1,47.5,146.4,182.3,173.5,627.7,352.6,244.1
1979,40.4,44.0,13.4,121.8,63.3,84.1,13.1,0.0,25.4,0.0,31.2,0.0,172.5,198.5,97.2,56.6,436.7,482.1,282.3
1980,4.5,56.5,43.5,75.6,68.9,26.1,8.5,0.0,35.0,99.4,126.2,48.9,61.0,188.0,34.6,260.6,593.1,306.3,179.1
1981,46.8,9.0,26.3,40.0,80.4,30.9,26.1,16.5,66.0,87.4,69.8,38.6,104.7,146.7,73.5,223.2,537.8,408.5,193.9
1982,118.4,41.7,30.1,50.6,52.7,23.7,11.7,32.4,75.3,98.5,50.6,90.8,198.7,133.4,67.8,224.4,676.5,425.6,171.1
1983,119.5,39.0,0.0,30.6,62.1,0.0,65.1,17.0,10.1,64.1,75.7,63.1,249.3,92.7,82.1,149.9,546.3,392.6,174.8
1984,51.9,46.5,35.7,101.4,80.7,79.4,37.9,28.7,41.1,72.5,11.4,62.1,161.5,217.8,146.0,125.0,649.3,534.4,328.1
1985,17.9,65.4,58.6,39.5,69.2,27.9,28.2,0.0,0.0,45.4,85.2,61.0,145.4,167.3,56.1,130.6,498.3,352.0,164.8
1986,33.4,68.9,0.0,29.3,55.6,37.7,10.2,2.3,0.0,0.0,131.3,22.7,163.3,84.9,50.2,131.3,391.4,371.1,135.1
1987,51.4,34.2,100.8,86.6,115.5,23.1,41.0,2.2,16.1,16.1,83.3,31.2,108.3,302.9,66.3,115.5,601.5,565.6,268.4
1988,100.7,58.8,40.7,71.3,11.8,59.3,22.6,9.7,12.3,86.3,0.0,89.0,190.7,123.8,91.6,98.6,562.5,457.1,174.7
