year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Winter,Spring,Summer,Autumn,Annual,Wheat,Sunflower
1965,78.1,60.1,36.5,78.8,28.9,6.4,70.6,18.6,0.0,98.5,0.0,68.5,138.2,144.2,95.6,98.5,545.0,288.8,203.3
1966,33.5,27.5,89.3,57.4,22.5,34.4,32.3,9.1,4.8,0.0,77.8,127.5,129.5,169.2,75.8,82.6,516.1,333.1,155.7
1967,0.0,92.4,37.2,66.4,77.4,68.9,30.0,3.1,0.0,17.3,92.7,161.6,219.9,181.0,102.0,110.0,647.0,547.6,245.8
1968,27.9,73.1,62.6,20.5,41.8,33.9,21.2,3.6,19.4,51.5,19.1,41.5,262.6,124.9,58.7,90.0,416.1,514.1,121.0
1969,47.0,114.0,48.4,37.4,27.0,73.7,35.1,15.8,47.8,103.1,33.0,29.5,202.5,112.8,124.6,183.9,611.8,408.1,189.0
1970,73.5,89.5,45.0,64.5,20.6,30.8,18.0,39.5,96.4,34.7,67.4,6.5,192.5,130.1,88.3,198.5,586.4,386.4,173.4
1971,80.0,16.8,24.2,23.2,76.4,28.3,46.3,38.4,37.2,44.1,156.3,98.0,103.3,123.8,113.0,237.6,669.2,322.8,212.6
1972,5.9,127.6,100.5,114.2,41.8,91.4,53.8,38.5,34.6,60.2,38.3,120.9,231.5,256.5,183.7,133.1,827.7,735.7,339.7
1973,0.0,1.8,20.0,39.5,98.3,2.5,0.0,30.0,0.0,83.2,33.4,122.4,122.7,157.8,32.5,116.6,431.1,321.3,170.3
1974,0.0,32.7,62.6,57.4,84.8,0.0,61.5,32.3,16.5,0.0,46.4,54.2,155.1,204.8,93.8,62.9,448.4,393.3,236.0
1975,53.8,0.0,15.9,28.8,67.4,71.5,26.2,34.3,10.8,78.3,44.9,99.1,108.0,112.1,132.0,134.0,531.0,338.0,228.2
1976,118.6,0.0,51.7,29.7,48.6,27.7,66.8,11.3,18.8,76.6,7.0,70.0,217.7,130.0,105.8,102.4,526.8,420.3,184.1
1977,77.8,33.5,54.7,30.8,47.6,7.6,29.3,11.7,49.0,48.0,16.6,27.1,181.3,133.1,48.6,113.6,433.7,329.0,127.0
1978,63.1,119.4,27.6,14.3,61.6,14.6,59.5,11.6,62.2,91.7,20.1,0.0,209.6,103.5,85.7,174.0,545.7,344.3,161.6
1979,32.1,72.9,13.3,49.6,67.7,5.2,0.0,5.2,41.1,0.0,71.2,152.9,105.0,130.6,10.4,112.3,511.2,260.9,127.7
1980,26.6,139.0,60.2,49.5,55.5,46.7,19.8,7.6,0.0,0.0,78.6,59.5,318.5,165.2,74.1,78.6,543.0,601.6,179.1
1981,17.9,54.8,48.3,39.4,46.9,67.5,1.3,16.1,89.8,52.8,133.4,93.5,132.2,134.6,84.9,276.0,661.7,412.9,171.2
1982,96.3,88.5,58.6,17.3,26.6,11.3,42.6,8.0,33.8,0.0,0.0,149.0,278.3,102.5,61.9,33.8,532.0,525.5,105.8
1983,48.1,46.0,60.1,72.3,43.7,52.2,0.3,0.0,56.0,112.4,103.8,46.7,243.1,176.1,52.5,272.2,641.6,471.4,168.5
1984,82.2,75.0,50.6,51.1,2.3,47.6,0.0,0.0,24.4,0.0,86.0,100.9,203.9,104.0,47.6,110.4,520.1,459.3,101.0
1985,40.1,108.1,107.2,81.9,78.8,51.7,24.4,1.0,0.0,71.3,77.1,113.3,249.1,267.9,77.1,148.4,754.9,654.7,237.8
1986,54.1,73.8,48.0,55.2,6.2,0.0,7.3,5.5,0.0,0.0,0.0,99.3,241.2,109.4,12.8,0.0,349.4,427.7,74.2
1987,66.0,32.6,23.1,6.7,62.2,66.3,11.0,20.8,25.8,126.8,82.6,54.0,197.9,92.0,98.1,235.2,577.9,356.2,167.0
1988,119.3,53.0,59.5,47.3,71.0,37.6,34.4,34.6,87.4,71.5,81.1,25.4,226.3,177.8,106.6,240.0,722.1,524.3,224.9
1989,99.7,62.0,80.0,51.4,32.5,69.0,55.6,30.7,98.3,73.0,49.4,101.4,187.1,163.9,155.3,220.7,803.0,501.1,239.2
1990,83.4,37.0,58.4,45.8,61.0,23.8,54.3,23.1,56.5,106.8,68.2,30.5,221.8,165.2,101.2,231.5,648.8,460.2,208.0
1991,0.0,0.0,73.0,37.0,1.7,11.9,0.0,18.7,23.7,60.4,74.7,22.0,30.5,111.7,30.6,158.8,323.1,222.3,69.3
1992,56.8,79.0,30.4,3.7,69.7,0.0,24.6,23.9,0.0,29.8,73.1,54.8,157.8,103.8,48.5,102.9,445.8,336.3,121.9
1993,77.5,100.7,97.1,47.9,22.9,48.7,0.0,0.0,31.7,0.0,54.1,88.4,233.0,167.9,48.7,85.8,569.0,522.7,119.5
1994,87.5,103.5,60.4,56.9,3.2,75.6,70.1,5.0,13.1,0.0,90.4,0.0,279.4,120.5,150.7,103.5,565.7,529.6,210.8
1995,62.1,25.3,14.7,6.0,69.5,70.1,0.9,20.1,0.0,0.0,48.2,139.9,87.4,90.2,91.1,48.2,456.8,338.1,166.6
1996,0.0,20.3,0.0,67.7,13.6,30.4,17.4,30.6,0.0,117.3,106.9,135.0,160.2,81.3,78.4,224.2,539.2,320.1,159.7
1997,62.7,0.0,38.8,51.7,78.3,39.2,38.1,3.5,0.0,35.0,82.0,0.0,197.7,168.8,80.8,117.0,429.3,512.6,210.8
1998,84.4,107.7,60.9,26.5,22.0,52.6,49.9,30.8,57.1,88.7,93.1,129.4,192.1,109.4,133.3,238.9,803.1,436.1,181.8
1999,0.0,131.2,0.0,68.0,39.5,68.1,0.0,24.0,36.4,20.7,74.2,51.6,260.6,107.5,92.1,131.3,513.7,529.3,199.6
2000,58.9,47.0,92.4,72.7,39.6,90.6,78.2,4.8,25.9,95.1,58.4,53.0,157.5,204.7,173.6,179.4,716.6,527.0,285.9
2001,179.6,4.2,9.2,109.8,19.6,52.4,0.0,19.3,72.1,99.2,58.3,82.3,236.8,138.6,71.7,229.6,706.0,486.2,201.1
2002,86.0,0.4,23.8,20.2,58.0,51.2,19.7,7.9,60.9,116.4,87.0,0.0,168.7,102.0,78.8,264.3,531.5,380.2,157.0
2003,22.7,32.6,27.1,58.8,60.9,54.1,11.1,2.1,88.8,0.0,77.7,146.6,55.3,146.8,67.3,166.5,582.5,343.2,187.0
2004,97.2,79.6,77.7,82.2,54.0,95.1,0.0,11.7,47.6,123.3,81.9,13.1,323.4,213.9,106.8,252.8,763.4,710.1,243.0
2005,65.4,59.8,0.0,49.9,74.9,55.5,74.4,7.9,18.6,21.2,63.6,109.2,138.3,124.8,137.8,103.4,600.4,400.5,262.6
2006,0.0,67.1,60.7,39.8,22.6,27.7,30.8,11.5,15.4,32.7,80.0,55.9,176.3,123.1,70.0,128.1,444.2,390.7,132.4
2007,26.4,15.1,0.0,11.9,88.3,52.2,32.8,0.0,33.3,7.7,72.0,105.7,97.4,100.2,85.0,113.0,445.4,329.8,185.2
2008,74.6,37.2,1.3,27.3,11.6,49.9,46.4,0.0,30.8,18.0,47.4,33.2,217.5,40.2,96.3,96.2,377.7,379.6,135.2
2009,0.0,76.5,86.4,47.5,53.7,65.0,10.2,1.4,3.3,66.4,83.6,49.0,109.7,187.6,76.6,153.3,543.0,409.7,177.8
2010,0.0,8.1,15.7,57.8,5.3,46.6,39.1,11.5,31.8,142.5,61.2,77.4,57.1,78.8,97.2,235.5,497.0,266.1,160.3
2011,0.0,33.4,93.4,0.0,17.8,18.1,39.6,8.3,54.1,38.9,82.0,56.2,110.8,111.2,66.0,175.0,441.8,301.3,83.8
2012,37.2,77.3,50.6,93.0,28.0,89.9,39.9,4.8,16.1,95.0,114.7,64.3,170.7,171.6,134.6,225.8,710.8,514.2,255.6
2013,37.6,60.1,20.6,8.7,29.3,54.7,26.6,0.3,20.0,72.6,134.9,39.5,162.0,58.6,81.6,227.5,504.9,390.0,119.6
2014,28.6,27.8,78.1,53.8,33.7,62.2,0.0,0.1,3.2,55.4,104.1,146.5,95.9,165.6,62.3,162.7,593.5,458.6,149.8
2015,6.9,61.8,1.8,20.0,88.0,37.2,49.6,8.1,4.5,12.8,69.4,134.4,215.2,109.8,94.9,86.7,494.5,466.3,202.9
2016,108.6,128.2,108.2,52.6,25.3,84.4,6.8,10.2,37.3,110.6,32.0,86.6,371.2,186.1,101.4,179.9,790.8,711.1,179.3
2017,98.3,29.9,69.2,66.2,54.3,22.2,41.9,28.7,28.2,22.8,122.2,74.9,214.8,189.7,92.8,173.2,658.8,458.7,213.3
2018,36.3,27.0,79.9,79.0,75.0,36.9,49.5,35.5,12.1,46.8,111.6,98.0,138.2,233.9,121.9,170.5,687.6,531.2,275.9
2019,140.9,42.2,22.7,19.1,74.8,52.0,77.0,2.6,72.5,49.0,76.6,7.2,281.1,116.6,131.6,198.1,636.6,561.3,225.5
2020,90.2,47.8,71.9,61.4,60.7,0.0,15.1,0.0,105.6,87.5,22.4,88.1,145.2,194.0,15.1,215.5,650.7,415.8,137.2
2021,0.0,44.5,65.1,17.4,69.5,52.1,51.6,0.0,58.8,87.1,69.4,101.3,132.6,152.0,103.7,215.3,616.8,359.1,190.6
2022,28.6,0.0,0.0,60.5,36.2,12.5,99.6,8.3,45.2,75.6,27.4,99.5,129.9,96.7,120.4,148.2,493.4,308.5,217.1
2023,137.7,53.7,50.7,33.8,19.9,19.5,61.1,34.9,2.9,0.0,36.2,84.1,290.9,104.4,115.5,39.1,534.5,442.2,169.2
2024,53.1,31.9,55.8,55.4,18.6,55.4,7.4,37.0,45.8,31.4,98.7,31.3,169.1,129.8,99.8,175.9,521.8,390.5,173.8
