year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Winter,Spring,Summer,Autumn,Annual,Wheat,Sunflower
1965,122.3,44.7,59.7,67.2,50.3,18.3,82.5,40.1,65.1,60.0,63.2,117.4,167.0,177.2,140.9,188.3,790.8,362.5,258.4
1966,236.9,61.3,12.5,92.2,14.3,80.4,38.2,83.7,103.0,61.4,135.4,0.0,415.6,119.0,202.3,299.8,919.3,678.2,308.8
1967,179.6,109.9,133.5,73.6,0.0,0.0,0.0,92.3,16.6,71.8,199.5,160.5,289.5,207.1,92.3,287.9,1037.3,632.0,165.9
1968,187.7,45.6,66.0,29.2,4.7,57.4,79.7,30.9,176.9,123.4,39.0,140.3,393.8,99.9,168.0,339.3,980.8,750.6,201.9
1969,122.1,109.6,72.0,83.5,50.5,43.3,77.6,34.0,47.5,157.7,80.3,115.4,372.0,206.0,154.9,285.5,993.5,660.3,288.9
1970,109.5,87.1,41.7,62.3,23.9,115.7,0.0,62.3,58.1,119.8,104.4,2.4,312.0,127.9,178.0,282.3,787.2,635.9,264.2
1971,77.0,62.9,113.5,30.5,78.3,49.9,33.8,115.9,79.9,166.0,103.3,137.2,142.3,222.3,199.6,349.2,1048.2,518.9,308.4
1972,171.3,107.0,123.9,30.5,51.3,15.0,63.7,32.6,39.8,174.3,194.9,191.3,415.5,205.7,111.3,409.0,1195.6,739.5,193.1
1973,22.0,51.5,90.0,32.5,0.0,62.6,0.0,105.0,32.5,79.4,47.5,209.0,264.8,122.5,167.6,159.4,732.0,644.8,200.1
1974,160.8,110.7,86.7,98.9,0.0,77.6,0.0,72.7,48.6,39.0,123.1,146.7,480.5,185.6,150.3,210.7,964.8,791.2,249.2
1975,179.4,40.5,78.6,119.6,0.0,26.2,63.6,62.4,0.0,231.9,182.5,72.8,366.6,198.2,152.2,414.4,1057.5,714.1,271.8
1976,77.3,149.4,68.5,0.0,56.6,35.6,0.0,84.7,0.0,123.9,141.1,132.6,299.5,125.1,120.3,265.0,869.7,642.7,176.9
1977,61.5,135.3,67.6,0.0,65.1,73.1,28.6,0.0,1.3,198.3,121.1,162.8,329.4,132.7,101.7,320.7,914.7,676.3,166.8
1978,81.3,90.5,127.2,77.2,22.2,0.0,14.6,21.3,138.0,44.8,119.8,155.4,334.6,226.6,35.9,302.6,892.3,682.3,135.3
1979,148.9,153.2,83.4,48.0,14.6,53.0,25.4,46.7,151.1,49.1,156.5,146.4,457.5,146.0,125.1,356.7,1076.3,776.3,187.7
1980,138.9,83.3,61.1,42.6,46.5,19.6,4.9,90.0,61.4,43.7,201.5,112.7,368.6,150.2,114.5,306.6,906.2,694.9,203.6
1981,76.0,153.7,109.2,90.8,35.2,61.4,74.5,61.2,14.2,158.2,146.0,129.5,342.4,235.2,197.1,318.4,1109.9,840.5,323.1
1982,124.2,79.2,83.9,69.0,0.0,49.7,107.1,79.2,150.7,193.7,124.0,38.8,332.9,152.9,236.0,468.4,1099.5,681.5,305.0
1983,114.8,38.1,4.8,17.1,29.9,40.2,0.0,40.6,120.1,28.8,0.0,130.0,191.7,51.8,80.8,148.9,564.4,407.7,127.8
1984,157.2,65.8,90.0,11.1,35.8,6.3,72.8,89.2,8.3,95.8,72.4,156.6,353.0,136.9,168.3,176.5,861.3,496.2,215.2
1985,132.2,114.2,77.8,52.2,10.5,65.4,5.1,108.1,24.0,71.0,176.5,63.1,403.0,140.5,178.6,271.5,900.1,681.3,241.3
1986,126.8,121.9,89.1,51.7,25.1,23.6,0.0,0.0,6.7,90.1,160.0,89.2,311.8,165.9,23.6,256.8,784.2,677.8,100.4
1987,136.3,16.3,42.1,46.2,119.3,0.0,40.6,70.8,0.0,92.7,107.5,115.2,241.8,207.6,111.4,200.2,787.0,609.4,276.9
1988,95.5,65.3,61.2,57.2,57.6,45.3,0.0,43.9,122.3,100.0,56.4,117.9,276.0,176.0,89.2,278.7,822.6,604.8,204.0
1989,72.2,35.5,118.5,101.1,52.7,29.8,8.9,0.0,92.8,136.6,59.9,0.0,225.6,272.3,38.7,289.3,708.0,584.1,192.5
1990,34.1,120.4,0.0,48.5,24.9,9.4,48.6,133.2,128.5,0.0,91.8,170.3,154.5,73.4,191.2,220.3,809.7,297.2,264.6
