year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Winter,Spring,Summer,Autumn,Annual,Wheat,Sunflower
1965,0.0,10.2,47.6,10.2,61.4,52.1,3.1,29.6,33.7,122.4,0.0,85.3,10.2,119.2,84.8,156.1,455.6,181.5,156.4
1966,33.2,69.0,14.9,14.8,33.5,29.0,56.0,12.9,53.7,96.7,143.9,29.0,187.5,63.2,97.9,294.3,586.6,279.7,146.2
1967,80.7,76.1,104.2,43.3,34.0,17.6,27.2,12.7,34.1,93.7,0.0,62.3,185.8,181.5,57.5,127.8,585.9,528.8,134.8
1968,113.6,10.9,95.7,8.4,20.0,29.5,50.2,48.4,12.8,62.7,103.0,28.6,186.8,124.1,128.1,178.5,583.8,340.4,156.5
1969,31.1,65.1,51.4,68.6,47.4,34.2,41.3,12.3,54.9,49.7,83.3,15.9,124.8,167.4,87.8,187.9,555.2,429.4,203.8
1970,0.0,65.8,38.1,45.3,47.9,47.5,24.9,31.5,43.6,134.2,15.5,127.5,81.7,131.3,103.9,193.3,621.8,343.8,197.1
1971,35.4,99.9,91.8,65.6,28.6,57.0,71.2,33.4,49.2,17.7,50.2,92.9,262.8,186.0,161.6,117.1,692.9,521.3,255.8
1972,0.0,125.4,40.2,22.3,41.8,84.7,0.0,24.2,45.5,24.7,46.7,56.1,218.3,104.3,108.9,116.9,511.6,457.5,173.0
1973,51.5,23.9,39.1,20.0,53.8,29.6,21.0,24.9,43.2,123.7,38.1,112.3,131.5,112.9,75.5,205.0,581.1,320.7,149.3
1974,57.3,53.7,59.5,0.0,21.4,57.0,1.0,5.4,105.6,193.4,0.0,86.2,223.3,80.9,63.4,299.0,640.5,399.3,84.8
1975,130.5,85.7,108.7,71.5,19.3,24.9,17.1,29.6,132.3,33.7,98.0,70.8,302.4,199.5,71.6,264.0,822.1,526.8,162.4
1976,123.8,45.5,75.7,25.7,28.1,38.5,21.5,29.2,64.9,120.5,63.0,39.0,240.1,129.5,89.2,248.4,675.4,506.1,143.0
1977,49.4,15.0,76.8,48.0,45.9,85.6,0.0,26.4,0.0,146.4,115.5,29.2,103.4,170.7,112.0,261.9,638.2,422.7,205.9
1978,47.0,5.7,82.9,24.2,27.2,50.2,22.2,30.7,1.5,0.0,32.2,36.3,81.9,134.3,103.1,33.7,360.1,381.9,154.5
1979,83.7,59.4,7.0,77.3,43.4,49.8,90.5,0.0,21.3,47.2,14.6,138.5,179.4,127.7,140.3,83.1,632.7,389.1,261.0
1980,73.7,51.2,68.4,58.2,27.7,14.2,12.9,16.5,62.3,31.4,116.0,154.9,263.4,154.3,43.6,209.7,687.4,446.5,129.5
1981,3.6,53.6,63.9,71.9,47.4,29.5,31.1,16.6,9.7,76.1,57.1,24.6,212.1,183.2,77.2,142.9,485.1,540.8,196.5
1982,64.1,39.9,35.6,89.2,16.7,52.9,18.2,5.3,17.8,135.1,149.9,75.9,128.6,141.5,76.4,302.8,700.6,380.1,182.3
1983,77.4,49.8,88.0,59.9,49.9,30.4,38.7,12.0,5.8,94.8,52.7,147.2,203.1,197.8,81.1,153.3,706.6,581.2,190.9
1984,57.2,100.6,22.1,43.1,68.8,58.7,60.9,6.2,40.8,0.0,56.7,46.4,305.0,134.0,125.8,97.5,561.5,550.4,237.7
1985,0.0,36.0,38.5,19.5,28.1,52.5,0.0,0.0,41.5,22.2,18.1,171.0,82.4,86.1,52.5,81.8,427.4,277.7,100.1
1986,36.2,0.0,62.4,35.7,45.3,65.1,3.9,0.0,17.4,31.2,28.4,62.3,207.2,143.4,69.0,77.0,387.9,433.8,150.0
1987,0.0,89.7,62.5,55.0,28.8,49.1,19.3,1.1,97.9,39.4,0.0,113.4,152.0,146.3,69.5,137.3,556.2,375.8,153.3
1988,0.0,0.0,88.5,55.4,32.9,45.2,24.8,0.0,62.4,86.4,99.3,85.1,113.4,176.8,70.0,248.1,580.0,335.4,158.3
1989,0.0,29.6,32.0,52.5,27.3,0.0,8.6,15.4,44.9,63.4,122.3,85.8,114.7,111.8,24.0,230.6,481.8,325.8,103.8
1990,59.3,37.4,92.3,57.9,51.8,55.1,56.7,43.8,68.9,87.8,92.7,36.6,182.5,202.0,155.6,249.4,740.3,561.9,265.3
1991,44.9,59.4,26.5,48.5,86.7,38.9,57.0,32.4,0.0,212.5,67.6,25.4,140.9,161.7,128.3,280.1,699.8,434.2,263.5
1992,67.7,43.3,47.2,38.8,0.0,67.1,37.2,0.0,27.4,121.9,0.0,96.9,136.4,86.0,104.3,149.3,547.5,357.1,143.1
1993,12.7,108.7,61.5,8.3,0.7,53.1,0.0,36.7,12.7,98.1,73.7,26.9,218.3,70.5,89.8,184.5,493.1,341.9,98.8
1994,58.9,17.2,47.0,65.4,35.8,0.0,19.8,13.6,0.0,56.2,9.0,109.6,103.0,148.2,33.4,65.2,432.5,324.9,134.6
1995,48.1,24.9,70.9,72.5,29.1,11.3,11.2,37.0,1.6,22.4,87.2,73.1,182.6,172.5,59.5,111.2,489.3,375.4,161.1
1996,0.0,116.4,32.8,66.0,46.5,55.0,16.9,0.0,74.5,17.2,129.8,36.9,189.5,145.3,71.9,221.5,592.0,477.0,184.4
1997,68.9,77.3,9.3,84.1,68.4,57.2,13.1,0.0,40.6,0.0,84.6,104.2,183.1,161.8,70.3,125.2,607.7,531.9,222.8
1998,38.4,94.8,59.0,43.0,25.7,33.0,12.5,29.4,0.0,0.0,115.0,66.0,237.4,127.7,74.9,115.0,516.8,482.7,143.6
1999,102.5,49.1,39.7,24.6,46.6,77.0,6.5,21.3,0.0,85.2,159.7,90.0,217.6,110.9,104.8,244.9,702.2,520.5,176.0
2000,85.3,54.4,32.9,54.7,27.6,0.0,11.0,0.0,103.9,129.7,0.0,79.0,229.7,115.2,11.0,233.6,578.5,504.6,93.3
2001,40.8,59.1,75.1,2.3,61.1,58.2,0.3,1.4,0.2,90.4,52.0,255.9,178.9,138.5,59.9,142.6,696.8,375.6,123.3
2002,81.3,38.2,45.6,34.4,31.1,10.7,12.2,11.5,82.2,82.6,173.2,126.8,375.4,111.1,34.4,338.0,729.8,549.2,99.9
2003,64.8,96.6,38.0,27.5,60.6,54.8,61.2,49.0,23.9,101.5,0.0,73.5,288.2,126.1,165.0,125.4,651.4,642.3,253.1
2004,59.9,66.5,5.8,0.0,30.4,72.1,7.7,37.2,45.4,46.7,141.4,90.3,199.9,36.2,117.0,233.5,603.4,308.2,147.4
2005,70.9,86.6,32.5,62.9,40.6,50.4,15.4,11.4,74.4,12.1,22.2,53.6,247.8,136.0,77.2,108.7,533.0,575.6,180.7
2006,46.0,54.6,24.2,34.4,21.5,40.8,12.0,0.0,0.0,95.6,46.3,148.5,154.2,80.1,52.8,141.9,523.9,297.3,108.7
2007,24.6,38.3,15.6,62.1,56.0,64.7,1.9,0.0,4.7,120.1,50.6,120.1,211.4,133.7,66.6,175.4,558.7,456.1,184.7
2008,124.3,0.0,70.4,23.9,43.9,21.2,33.0,3.5,100.1,121.5,126.8,159.6,244.4,138.2,57.7,348.4,828.2,454.4,125.5
2009,12.8,77.2,40.1,34.4,2.7,0.7,13.6,8.4,51.5,126.2,0.0,114.1,249.6,77.2,22.7,177.7,481.7,454.3,59.8
2010,61.0,72.3,32.9,39.6,36.5,30.6,0.0,8.8,15.7,63.8,106.1,80.7,247.4,109.0,39.4,185.6,548.0,387.0,115.5
2011,118.2,84.0,40.5,78.8,51.6,48.7,39.2,0.0,11.3,105.6,44.1,62.8,282.9,170.9,87.9,161.0,684.8,608.6,218.3
2012,0.0,137.3,50.6,39.1,37.1,20.5,0.0,12.3,33.3,67.3,14.2,31.9,200.1,126.8,32.8,114.8,443.6,391.5,109.0
2013,60.1,60.6,108.9,20.5,43.4,15.5,55.0,6.2,0.0,42.4,83.9,24.8,152.6,172.8,76.7,126.3,521.3,355.1,140.6
2014,32.8,19.7,41.9,28.1,68.5,22.0,62.2,8.5,66.5,103.6,0.0,159.3,77.3,138.5,92.7,170.1,613.1,321.7,189.3
2015,2.4,41.2,55.5,23.9,56.6,47.4,13.9,5.2,0.0,98.3,155.9,81.1,202.9,136.0,66.5,254.2,581.4,386.3,147.0
2016,28.5,33.0,2.8,72.0,33.9,29.9,42.0,21.5,0.9,87.0,39.8,17.7,142.6,108.7,93.4,127.7,409.0,437.1,199.3
2017,153.8,45.1,38.6,28.0,31.2,39.6,0.0,47.6,27.3,43.9,33.3,124.6,216.6,97.8,87.2,104.5,613.0,393.8,146.4
2018,0.1,99.1,52.3,55.9,33.2,53.7,5.1,48.7,19.7,113.0,25.2,24.1,223.8,141.4,107.5,157.9,530.1,452.2,196.6
2019,10.2,99.9,71.2,37.8,29.3,50.2,0.0,29.6,29.4,55.1,50.2,46.6,134.2,138.3,79.8,134.7,509.5,347.9,146.9
2020,33.3,28.7,58.3,0.0,50.9,43.6,0.7,5.1,14.2,73.2,199.7,104.9,108.6,109.2,49.4,287.1,612.6,311.6,100.3
2021,40.2,32.3,99.1,66.5,33.7,17.4,9.9,22.0,0.0,42.7,126.6,83.7,177.4,199.3,49.3,169.3,574.1,593.8,149.5
2022,56.3,81.3,39.9,82.4,41.1,59.4,53.7,19.6,0.0,129.4,42.3,78.3,221.3,163.4,132.7,171.7,683.7,570.7,256.2
2023,23.4,62.9,55.3,13.8,37.7,10.8,0.0,0.0,118.5,102.5,30.6,80.6,164.6,106.8,10.8,251.6,536.1,324.5,62.3
2024,76.0,96.5,50.6,39.5,40.2,25.3,0.0,9.8,58.3,120.1,50.5,47.5,253.1,130.3,35.1,228.9,614.3,439.3,114.8
