year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Winter,Spring,Summer,Autumn,Annual,Wheat,Sunflower
1965,22.2,87.3,83.3,30.3,40.1,36.7,0.0,43.6,12.8,92.4,25.1,134.8,109.5,153.7,80.3,130.3,608.6,299.9,150.7
1966,63.5,27.8,15.3,88.6,79.2,76.5,107.5,0.0,32.3,4.9,126.5,100.5,226.1,183.1,184.0,163.7,722.6,510.8,351.8
1967,0.0,105.2,166.3,33.1,12.9,53.5,53.2,14.5,63.4,111.4,129.4,46.3,205.7,212.3,121.2,304.2,789.2,598.0,167.2
1968,86.2,82.3,0.0,25.4,81.8,33.0,53.1,28.7,44.7,13.1,156.8,160.7,214.8,107.2,114.8,214.6,765.8,484.4,222.0
1969,76.0,133.9,79.3,32.2,20.2,43.4,7.2,25.5,2.5,93.1,82.4,79.3,370.6,131.7,76.1,178.0,675.0,702.5,128.5
1970,100.3,88.8,74.6,82.1,75.5,0.0,0.0,3.9,17.4,59.4,119.7,47.7,268.4,232.2,3.9,196.5,669.4,583.0,161.5
1971,114.2,40.8,52.9,39.2,70.0,84.3,77.0,0.0,44.9,114.8,171.1,132.1,202.7,162.1,161.3,330.8,941.3,568.8,270.5
1972,49.2,19.2,65.3,74.9,119.5,45.4,56.7,0.0,0.0,24.4,37.9,63.5,200.5,259.7,102.1,62.3,556.0,676.7,296.5
1973,103.6,111.2,98.8,67.3,39.1,86.2,47.4,0.0,28.4,72.2,51.2,58.6,278.3,205.2,133.6,151.8,764.0,607.6,240.0
1974,64.8,37.9,18.6,64.3,23.3,45.0,98.7,0.0,13.0,61.6,86.0,263.8,161.3,106.2,143.7,160.6,777.0,363.7,231.3
1975,0.0,66.2,60.2,74.5,55.9,38.2,37.8,34.4,39.8,35.9,133.2,139.3,330.0,190.6,110.4,208.9,715.4,644.8,240.8
1976,172.3,11.7,139.4,52.4,18.2,87.9,21.0,35.8,67.5,105.3,94.3,207.0,323.3,210.0,144.7,267.1,1012.8,754.4,215.3
