station,variable,n_years,SNHT_T0,SNHT_T_crit_005,SNHT_change_year,SNHT_decision,Buishand_R_norm,Buishand_R_over_sqrtn,Buishand_R_crit_005,Buishand_decision,Pettitt_K,Pettitt_p_value,Pettitt_change_year,Pettitt_decision,VonNeumann_N,VonNeumann_crit_lower,VonNeumann_crit_upper,VonNeumann_decision,n_rejections,Wijngaard_classification,notes
Edirne,Jan,60,5.145,8.74,2002,Accept H0,11.626,1.501,1.74,Accept H0,302.0,0.1655,2002,Accept H0,1.82,1.54,2.46,Accept H0,0,Useful,
Edirne,Feb,60,2.465,8.74,1965,Accept H0,8.504,1.098,1.74,Accept H0,235.0,0.4423,1986,Accept H0,2.022,1.54,2.46,Accept H0,0,Useful,
Edirne,Mar,60,2.005,8.74,2018,Accept H0,5.47,0.706,1.74,Accept H0,108.0,1.0,1975,Accept H0,2.208,1.54,2.46,Accept H0,0,Useful,
Edirne,Apr,60,3.519,8.74,2018,Accept H0,10.126,1.307,1.74,Accept H0,171.0,0.8996,1987,Accept H0,2.258,1.54,2.46,Accept H0,0,Useful,
Edirne,May,60,1.858,8.74,1973,Accept H0,7.651,0.988,1.74,Accept H0,148.0,1.0,1988,Accept H0,2.011,1.54,2.46,Accept H0,0,Useful,
Edirne,Jun,60,3.122,8.74,2012,Accept H0,7.114,0.918,1.74,Accept H0,197.0,0.6927,2003,Accept H0,2.214,1.54,2.46,Accept H0,0,Useful,
Edirne,Jul,60,4.306,8.74,1994,Accept H0,11.096,1.432,1.74,Accept H0,225.0,0.5016,1996,Accept H0,1.88,1.54,2.46,Accept H0,0,Useful,
Edirne,Aug,60,4.147,8.74,2006,Accept H0,8.383,1.082,1.74,Accept H0,300.0,0.171,2006,Accept H0,1.708,1.54,2.46,Accept H0,0,Useful,
Edirne,Sep,60,2.443,8.74,2015,Accept H0,9.117,1.177,1.74,Accept H0,206.0,0.6273,1994,Accept H0,1.802,1.54,2.46,Accept H0,0,Useful,
Edirne,Oct,60,4.266,8.74,2021,Accept H0,8.976,1.159,1.74,Accept H0,174.0,0.8745,1989,Accept H0,1.853,1.54,2.46,Accept H0,0,Useful,
Edirne,Nov,60,8.088,8.74,1966,Accept H0,8.983,1.16,1.74,Accept H0,282.0,0.2277,2002,Accept H0,2.015,1.54,2.46,Accept H0,0,Useful,
Edirne,Dec,60,5.696,8.74,1969,Accept H0,8.262,1.067,1.74,Accept H0,173.0,0.8829,1969,Accept H0,2.018,1.54,2.46,Accept H0,0,Useful,
Edirne,Winter,60,6.245,8.74,1970,Accept H0,11.705,1.511,1.74,Accept H0,233.0,0.4538,1970,Accept H0,1.767,1.54,2.46,Accept H0,0,Useful,
Edirne,Spring,60,1.392,8.74,1969,Accept H0,5.986,0.773,1.74,Accept H0,117.0,1.0,2013,Accept H0,2.339,1.54,2.46,Accept H0,0,Useful,
Edirne,Summer,60,1.668,8.74,2022,Accept H0,7.193,0.929,1.74,Accept H0,187.0,0.7693,1991,Accept H0,1.945,1.54,2.46,Accept H0,0,Useful,
Edirne,Autumn,60,4.318,8.74,2018,Accept H0,8.356,1.079,1.74,Accept H0,202.0,0.6559,2018,Accept H0,2.264,1.54,2.46,Accept H0,0,Useful,
Edirne,Annual,60,2.65,8.74,2021,Accept H0,9.959,1.286,1.74,Accept H0,178.0,0.8415,1994,Accept H0,1.949,1.54,2.46,Accept H0,0,Useful,
Edirne,Wheat,60,7.002,8.74,1967,Accept H0,10.019,1.293,1.74,Accept H0,197.0,0.6927,1971,Accept H0,1.934,1.54,2.46,Accept H0,0,Useful,
Edirne,Sunflower,60,1.549,8.74,1969,Accept H0,5.34,0.689,1.74,Accept H0,154.0,1.0,1990,Accept H0,1.918,1.54,2.46,Accept H0,0,Useful,
Kırklareli,Jan,60,5.815,8.74,1968,Accept H0,13.373,1.726,1.74,Accept H0,292.0,0.1947,2002,Accept H0,1.674,1.54,2.46,Accept H0,0,Useful,
Kırklareli,Feb,60,4.07,8.74,2008,Accept H0,12.246,1.581,1.74,Accept H0,194.0,0.7152,2008,Accept H0,1.753,1.54,2.46,Accept H0,0,Useful,
Kırklareli,Mar,60,1.804,8.74,2018,Accept H0,5.832,0.753,1.74,Accept H0,120.0,1.0,2018,Accept H0,2.418,1.54,2.46,Accept H0,0,Useful,
Kırklareli,Apr,60,3.504,8.74,2020,Accept H0,10.091,1.303,1.74,Accept H0,207.0,0.6203,1987,Accept H0,2.103,1.54,2.46,Accept H0,0,Useful,
Kırklareli,May,60,1.059,8.74,1971,Accept H0,4.453,0.575,1.74,Accept H0,119.0,1.0,1982,Accept H0,2.217,1.54,2.46,Accept H0,0,Useful,
Kırklareli,Jun,60,4.529,8.74,2012,Accept H0,8.628,1.114,1.74,Accept H0,224.0,0.5077,1982,Accept H0,1.835,1.54,2.46,Accept H0,0,Useful,
Kırklareli,Jul,60,2.722,8.74,2019,Accept H0,9.275,1.197,1.74,Accept H0,195.0,0.7077,1989,Accept H0,1.761,1.54,2.46,Accept H0,0,Useful,
Kırklareli,Aug,60,6.416,8.74,2008,Accept H0,9.411,1.215,1.74,Accept H0,318.0,0.1262,2008,Accept H0,1.774,1.54,2.46,Accept H0,0,Useful,
Kırklareli,Sep,60,6.757,8.74,1997,Accept H0,12.09,1.561,1.74,Accept H0,353.0,0.0664,1997,Accept H0,1.683,1.54,2.46,Accept H0,0,Useful,
Kırklareli,Oct,60,4.501,8.74,2021,Accept H0,9.265,1.196,1.74,Accept H0,219.0,0.5394,2008,Accept H0,1.486,1.54,2.46,Reject H0,1,Useful,
Kırklareli,Nov,60,2.468,8.74,1966,Accept H0,6.624,0.855,1.74,Accept H0,173.0,0.8829,1999,Accept H0,2.531,1.54,2.46,Reject H0,1,Useful,
Kırklareli,Dec,60,4.362,8.74,1969,Accept H0,7.905,1.021,1.74,Accept H0,185.0,0.7851,1969,Accept H0,1.922,1.54,2.46,Accept H0,0,Useful,
Kırklareli,Winter,60,10.851,8.74,1970,Reject H0,15.973,2.062,1.74,Reject H0,273.0,0.261,1971,Accept H0,1.425,1.54,2.46,Reject H0,3,Doubtful,Reclassified from Suspect to Doubtful per manuscript Wijngaard classification
Kırklareli,Spring,60,4.173,8.74,1966,Accept H0,6.639,0.857,1.74,Accept H0,110.0,1.0,1982,Accept H0,2.26,1.54,2.46,Accept H0,0,Useful,
Kırklareli,Summer,60,2.792,8.74,1965,Accept H0,8.334,1.076,1.74,Accept H0,159.0,1.0,1996,Accept H0,1.778,1.54,2.46,Accept H0,0,Useful,
Kırklareli,Autumn,60,2.059,8.74,1969,Accept H0,7.923,1.023,1.74,Accept H0,201.0,0.6632,2004,Accept H0,2.134,1.54,2.46,Accept H0,0,Useful,
Kırklareli,Annual,60,4.537,8.74,2008,Accept H0,11.654,1.504,1.74,Accept H0,224.0,0.5077,2004,Accept H0,2.012,1.54,2.46,Accept H0,0,Useful,
Kırklareli,Wheat,60,7.751,8.74,2012,Accept H0,12.922,1.668,1.74,Accept H0,275.0,0.2533,2011,Accept H0,1.531,1.54,2.46,Reject H0,1,Useful,
Kırklareli,Sunflower,60,3.138,8.74,1971,Accept H0,6.986,0.902,1.74,Accept H0,170.0,0.908,1974,Accept H0,1.678,1.54,2.46,Accept H0,0,Useful,
Lüleburgaz,Jan,60,6.675,8.74,1971,Accept H0,11.25,1.452,1.74,Accept H0,334.0,0.0949,1987,Accept H0,1.55,1.54,2.46,Accept H0,0,Useful,
Lüleburgaz,Feb,60,6.613,8.74,1973,Accept H0,10.228,1.32,1.74,Accept H0,241.0,0.4091,1973,Accept H0,1.745,1.54,2.46,Accept H0,0,Useful,
Lüleburgaz,Mar,60,3.26,8.74,2018,Accept H0,6.145,0.793,1.74,Accept H0,160.0,0.9937,2018,Accept H0,2.27,1.54,2.46,Accept H0,0,Useful,
Lüleburgaz,Apr,60,4.26,8.74,1965,Accept H0,7.533,0.972,1.74,Accept H0,185.0,0.7851,1992,Accept H0,2.002,1.54,2.46,Accept H0,0,Useful,
