station,variable,n_years,Anderson_r1,Anderson_r1_lower_005,Anderson_r1_upper_005,Anderson_decision,trend_test_method,MK_or_MMKH_Z,MK_or_MMKH_p_value,Sen_slope_mm_per_year,trend_direction,significance_level,stars,is_significant_010,is_significant_005
Edirne,Jan,60,0.0794,-0.2699,0.236,Independent (use MK),MK,0.6443,0.5194,0.2517,↑,NS,,False,False
Edirne,Feb,60,-0.0379,-0.2699,0.236,Independent (use MK),MK,-0.7144,0.475,-0.1948,↓,NS,,False,False
Edirne,Mar,60,-0.1051,-0.2699,0.236,Independent (use MK),MK,-0.1722,0.8633,-0.0627,↓,NS,,False,False
Edirne,Apr,60,-0.1315,-0.2699,0.236,Independent (use MK),MK,-0.4273,0.6691,-0.0883,↓,NS,,False,False
Edirne,May,60,-0.0092,-0.2699,0.236,Independent (use MK),MK,0.0702,0.9441,0.0103,↑,NS,,False,False
Edirne,Jun,60,-0.1277,-0.2699,0.236,Independent (use MK),MK,0.4975,0.6188,0.1,↑,NS,,False,False
Edirne,Jul,60,0.0526,-0.2699,0.236,Independent (use MK),MK,0.8165,0.4142,0.1418,↑,NS,,False,False
Edirne,Aug,60,0.1378,-0.2699,0.236,Independent (use MK),MK,-1.231,0.2183,-0.1626,↓,NS,,False,False
Edirne,Sep,60,0.0892,-0.2699,0.236,Independent (use MK),MK,0.1722,0.8633,0.0182,↑,NS,,False,False
Edirne,Oct,60,0.0489,-0.2699,0.236,Independent (use MK),MK,0.5039,0.6143,0.166,↑,NS,,False,False
Edirne,Nov,60,-0.0162,-0.2699,0.236,Independent (use MK),MK,-0.5549,0.5789,-0.1679,↓,NS,,False,False
Edirne,Dec,60,-0.0406,-0.2699,0.236,Independent (use MK),MK,0.1658,0.8683,0.0485,↑,NS,,False,False
Edirne,Winter,60,0.0987,-0.2699,0.236,Independent (use MK),MK,-0.4401,0.6599,-0.3,↓,NS,,False,False
Edirne,Spring,60,-0.1719,-0.2699,0.236,Independent (use MK),MK,-0.338,0.7353,-0.1927,↓,NS,,False,False
Edirne,Summer,60,0.0058,-0.2699,0.236,Independent (use MK),MK,0.4273,0.6691,0.1898,↑,NS,,False,False
Edirne,Autumn,60,-0.1479,-0.2699,0.236,Independent (use MK),MK,0.3125,0.7546,0.1233,↑,NS,,False,False
Edirne,Annual,60,0.0111,-0.2699,0.236,Independent (use MK),MK,-0.1977,0.8433,-0.1403,↓,NS,,False,False
Edirne,Wheat,60,0.0169,-0.2699,0.236,Independent (use MK),MK,-0.2232,0.8234,-0.1314,↓,NS,,False,False
Edirne,Sunflower,60,0.0238,-0.2699,0.236,Independent (use MK),MK,0.7717,0.4403,0.2989,↑,NS,,False,False
Kırklareli,Jan,60,0.1611,-0.2699,0.236,Independent (use MK),MK,0.472,0.6369,0.1711,↑,NS,,False,False
Kırklareli,Feb,60,0.0926,-0.2699,0.236,Independent (use MK),MK,-0.0319,0.9746,-0.0138,↓,NS,,False,False
Kırklareli,Mar,60,-0.2173,-0.2699,0.236,Independent (use MK),MK,-0.0574,0.9542,-0.0124,↓,NS,,False,False
Kırklareli,Apr,60,-0.0684,-0.2699,0.236,Independent (use MK),MK,-0.625,0.5319,-0.0958,↓,NS,,False,False
Kırklareli,May,60,-0.1134,-0.2699,0.236,Independent (use MK),MK,0.2232,0.8234,0.0402,↑,NS,,False,False
Kırklareli,Jun,60,0.0581,-0.2699,0.236,Independent (use MK),MK,1.6074,0.108,0.392,↑,NS,,False,False
Kırklareli,Jul,60,0.1084,-0.2699,0.236,Independent (use MK),MK,0.6314,0.5278,0.0912,↑,NS,,False,False
Kırklareli,Aug,60,0.1033,-0.2699,0.236,Independent (use MK),MK,-1.652,0.0985,-0.184,↓,p ≤ 0.10,*,True,False
Kırklareli,Sep,60,0.1466,-0.2699,0.236,Independent (use MK),MK,1.2565,0.2089,0.1915,↑,NS,,False,False
Kırklareli,Oct,60,0.2309,-0.2699,0.236,Independent (use MK),MK,0.6761,0.499,0.1587,↑,NS,,False,False
Kırklareli,Nov,60,-0.2752,-0.2699,0.236,Autocorrelated (use MMKH),MMKH,-0.5102,0.6099,-0.186,↓,NS,,False,False
Kırklareli,Dec,60,0.033,-0.2699,0.236,Independent (use MK),MK,-0.5613,0.5746,-0.1929,↓,NS,,False,False
Kırklareli,Winter,60,0.2796,-0.2699,0.236,Autocorrelated (use MMKH),MMKH,-0.1499,0.8808,-0.237,↓,NS,,False,False
Kırklareli,Spring,60,-0.1312,-0.2699,0.236,Independent (use MK),MK,-0.0702,0.9441,-0.0488,↓,NS,,False,False
Kırklareli,Summer,60,0.0666,-0.2699,0.236,Independent (use MK),MK,0.6633,0.5071,0.2915,↑,NS,,False,False
Kırklareli,Autumn,60,-0.0895,-0.2699,0.236,Independent (use MK),MK,0.5613,0.5746,0.2733,↑,NS,,False,False
Kırklareli,Annual,60,-0.0195,-0.2699,0.236,Independent (use MK),MK,0.2487,0.8036,0.3568,↑,NS,,False,False
Kırklareli,Wheat,60,0.2295,-0.2699,0.236,Independent (use MK),MK,0.287,0.7741,0.2383,↑,NS,,False,False
Kırklareli,Sunflower,60,0.1374,-0.2699,0.236,Independent (use MK),MK,1.0013,0.3167,0.4688,↑,NS,,False,False
Lüleburgaz,Jan,60,0.2242,-0.2699,0.236,Independent (use MK),MK,-0.6888,0.4909,-0.2138,↓,NS,,False,False
Lüleburgaz,Feb,60,0.0701,-0.2699,0.236,Independent (use MK),MK,-0.5868,0.5574,-0.163,↓,NS,,False,False
Lüleburgaz,Mar,60,-0.1356,-0.2699,0.236,Independent (use MK),MK,-0.5804,0.5617,-0.1071,↓,NS,,False,False
Lüleburgaz,Apr,60,-0.0381,-0.2699,0.236,Independent (use MK),MK,-0.5613,0.5746,-0.1249,↓,NS,,False,False
Lüleburgaz,May,60,0.1483,-0.2699,0.236,Independent (use MK),MK,0.0957,0.9238,0.0272,↑,NS,,False,False
Lüleburgaz,Jun,60,-0.2698,-0.2699,0.236,Independent (use MK),MK,1.0077,0.3136,0.1952,↑,NS,,False,False
Lüleburgaz,Jul,60,-0.0484,-0.2699,0.236,Independent (use MK),MK,-0.4592,0.6461,-0.0537,↓,NS,,False,False
Lüleburgaz,Sep,60,0.2068,-0.2699,0.236,Independent (use MK),MK,0.3061,0.7595,0.0479,↑,NS,,False,False
Lüleburgaz,Oct,60,0.092,-0.2699,0.236,Independent (use MK),MK,-0.2743,0.7839,-0.0526,↓,NS,,False,False
Lüleburgaz,Nov,60,0.0767,-0.2699,0.236,Independent (use MK),MK,-2.143,0.0321,-0.7016,↓,p ≤ 0.05,**,True,True
Lüleburgaz,Dec,60,0.0139,-0.2699,0.236,Independent (use MK),MK,-0.5996,0.5488,-0.2391,↓,NS,,False,False
Lüleburgaz,Winter,60,0.2373,-0.2699,0.236,Autocorrelated (use MMKH),MMKH,-1.1816,0.2374,-0.7398,↓,NS,,False,False
Lüleburgaz,Spring,60,0.0197,-0.2699,0.236,Independent (use MK),MK,-0.4337,0.6645,-0.1555,↓,NS,,False,False
Lüleburgaz,Summer,60,-0.1312,-0.2699,0.236,Independent (use MK),MK,-0.0829,0.9339,-0.0198,↓,NS,,False,False
Lüleburgaz,Autumn,60,0.0647,-0.2699,0.236,Independent (use MK),MK,-1.1416,0.2536,-0.5113,↓,NS,,False,False
Lüleburgaz,Annual,60,0.1862,-0.2699,0.236,Independent (use MK),MK,-1.2373,0.216,-1.5155,↓,NS,,False,False
