Month,Edirne,Kırklareli,Lüleburgaz,Uzunköprü,İpsala,Çorlu,Tekirdağ,Sarıyer,Mean
Jan,+18.7,+12.9,−6.8,+10.2,+9.9,−9.2,−9.7,−11.7,+1.8
Feb,+6.7,+8.1,+6.0,+11.1,−1.7,+4.9,+7.7,+20.9**,+8.0
Mar,+3.9,+5.1,+3.7,+11.7,+5.3,+2.0,−3.2,+7.0,+4.4
Apr,−3.3,−4.1,−5.3,−3.0,−3.6,−0.3,−2.3,−5.0,−3.4
May,+0.5,−1.3,+0.7,+1.2,+5.6,−2.6,−7.7,−8.1,−1.4
Jun,−2.0,+9.4,+5.9,−4.2,−6.0,+13.2,−4.4,+4.5,+2.1
Jul,+15.0**,+9.7,+10.0,+9.6,+5.1,+4.8,+5.2,+0.0,+7.4
Aug,−0.5,−2.8,−4.8,−6.6,−3.5,+3.8,−2.1,+1.0,−1.9
Sep,+11.4,+21.5**,+18.6**,+8.8,+4.9,+18.9**,+18.2*,+31.3**,+16.7
Oct,+5.1,+6.2,−1.0,−7.8,+0.8,+12.5,+22.3,+1.4,+4.9
Nov,−6.4,−6.2,−28.4**,−27.5**,−12.5,−14.7,−18.9,−7.4,−15.2
Dec,+7.0,−1.4,+3.8,−3.0,−5.2,−4.0,−2.8,−4.3,−1.2
